5.17226 4.58739 -5.58099
4.95535 14.083 -9.79903
3.56316 7.76245 -58.8697
5.82786 12.244 -11.3844
5.75061 10.8016 -12.1455
7.11013 9.31019 -4892.46
4.7547 11.6137 -7.61227
2.11599 4.65014 -4.22345
4.82283 10.5738 3.4733
4.65471 7.00204 -37.255
6.3992 12.2793 -7.28459
5.29229 12.2487 9.0128
5.57432 11.1633 12.5729
5.69923 11.4504 -6.0193
4.42462 15.747 7.92045
4.00254 9.76942 10.008
4.65178 8.325 -1.20288
5.58527 7.98574 1.70618
3.90286 6.98871 0.340936
4.91133 6.99967 5.4204
5.83855 10.5442 -28.1504
5.1265 8.36856 10.4877
5.03428 10.2703 7.97594
4.70273 7.4398 -22.8717
5.64016 7.23383 12.9368
6.43227 7.63351 -4.07203
4.75813 11.8673 5.0249
5.69493 14.2311 13.99
4.95965 10.2324 8.7647
4.04613 14.1511 0.404722
5.38327 14.7702 7.1186
4.60956 10.2824 15.8456
6.40916 4.58336 11.658
4.18624 13.0259 23.1458
3.87557 6.32588 18.4778
3.9662 10.7619 24.7407
4.92178 6.70427 3.57641
4.67919 12.5114 5.11703
5.43077 11.0751 -3.83734
6.25225 17.4824 10.0114
6.19452 7.34951 -2.35057
5.73344 13.7449 -187.786
3.70354 11.7083 -17.6547
5.44784 10.4917 -7.45076
6.11059 8.88477 3.67674
6.00339 6.81075 -0.90727
5.55581 8.67214 -30.6666
4.66556 13.8354 -24.3922
5.65654 7.5061 4.33222
5.44961 12.5939 -10.3573
6.42964 7.90358 16.8508
6.59399 12.9788 59.6476
5.9666 12.8891 15.5383
3.30559 6.59908 10.5193
5.442 7.81909 -0.556578
5.11405 9.48212 1.15999
4.99416 11.2627 6.9712
5.01597 6.37742 28.1655
4.04102 7.86253 -9.75233
4.88667 9.30755 -857.122
3.92722 9.04621 532.12
4.31593 7.5745 7.07578
5.55559 12.9878 46.1947
2.89016 13.7331 218.894
2.83202 9.82157 6.96154
4.67612 8.99394 -25.4225
4.21225 8.05377 -7.36517
4.81513 13.1441 0.436716
4.1261 14.4274 -14.5938
4.14217 7.64986 13.9907
6.18545 7.40309 -3.19004
4.90467 12.2894 -122.272
6.3493 8.31859 -13.5358
4.15254 10.2525 2.32147
4.98969 10.4925 10.635
3.25712 9.23322 211.727
6.31852 6.85203 -5.89166
6.22312 7.4343 -32.6092
5.01391 11.028 -33.1167
5.78844 12.7144 2.29199
5.11889 13.8186 -28.8647
4.44166 7.87036 71.8828
5.24095 13.0791 4.68652
5.98084 9.445 3.48087
4.50164 9.26986 -55.6019
4.5199 11.0945 0.114567
6.18703 6.35292 10.9787
4.22418 13.4773 40.4914
5.12582 8.55806 28.7701
5.7059 9.33716 -26.6812
5.83819 5.23985 3.07139
5.98611 8.05876 -84.8129
5.69828 8.55106 10.205
5.16362 11.4307 9.35623
5.85318 10.9531 1.0219
5.22683 8.61913 22.5536
4.43367 8.23124 13.0086
4.48181 7.7349 -15.231
5.54412 10.5739 -2.06334
6.40377 7.32858 75.5405
6.37308 4.71001 17.3322
